time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E+00,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E+00,1,2,  1.6857000000000202E-01,  1.4353734493231094E-04,  1.4353734493224049E-04,  1.5527000000009505E-02,  3.1990230572178445E-10, -1.1756304455909906E-22,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E+00,1,3,  1.6486084751765712E-01,  1.4353734493231094E-04,  2.8673792955135675E-04,  5.8249080523215813E-03,  4.7891601960470506E-10,  1.5901371388280305E-10,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.2626285427721415E-10
  1.0000000000000000E+00,1,4,  1.6657819278791516E-01,  1.4353734493231094E-04,  2.1783349108521615E-04,  8.9010618849658107E-03,  4.2236811352147079E-10,  9.6105259244256639E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.3010706464698440E-10
  1.0000000000000000E+00,1,5,  1.6673110121312548E-01,  1.4353734493231094E-04,  2.1185853109738280E-04,  9.2620850270043603E-03,  4.1571976888996316E-10,  8.5612704242978759E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.3353157281670353E-10
  1.0000000000000000E+00,1,6,  1.6690850215949238E-01,  1.4353734493231094E-04,  2.0496972716490221E-04,  9.7044480254227794E-03,  4.0770898688851740E-10,  7.4177414071813872E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.3649866937957607E-10
  1.0000000000000000E+00,1,7,  1.6706624191432257E-01,  1.4353734493231094E-04,  1.9888628803491743E-04,  1.0120574407374114E-02,  4.0032696746896546E-10,  6.3828298089389390E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.3905180130315165E-10
  1.0000000000000000E+00,1,8,  1.6720213487920638E-01,  1.4353734493231094E-04,  1.9367929660613409E-04,  1.0497512015291380E-02,  3.9377920584420185E-10,  5.4727404541050207E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.4124089748479365E-10
  1.0000000000000000E+00,1,9,  1.6731883434181366E-01,  1.4353734493231094E-04,  1.8923436092278714E-04,  1.0835695919081983E-02,  3.8802240635315512E-10,  4.6781508868361473E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.4311215783952808E-10
  1.0000000000000000E+00,1,10,  1.6741871765264152E-01,  1.4353734493231094E-04,  1.8545052791831221E-04,  1.1136355147116569E-02,  3.8300039371000870E-10,  3.9888235870480622E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.4470768727434733E-10
  1.0000000000000000E+00,1,11,  1.6750397101091782E-01,  1.4353734493231094E-04,  1.8223664016851112E-04,  1.1401533201125316E-02,  3.7864711833225445E-10,  3.3939431057907117E-11,  4.0000000000000001E-02,  5.0000000000000000E-01,  3.4606526451666361E-10
