% Model:              1D_PoST5400um_12.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 4 2026, 19:00
% Table:              プローブテーブル 2 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              ec.Jx*nx (A)             ec.Jx*nx (A)
0                        0.16154780898213858      0.16152440562681125      -1.0619630959960345E-4   -1.0619445557874052E-4
0.001                    0.1615485937225214       0.16152449328472537      -1.0619286193004619E-4   -1.061910079632081E-4
0.002                    0.16154861829460201      0.16152457564732287      -1.0618962264973854E-4   -1.0618776870155374E-4
0.003                    0.16154862249973134      0.1615246248614248       -1.0618768713398981E-4   -1.0618583318612751E-4
0.004                    0.16154862404125744      0.16152465700074659      -1.0618642316491454E-4   -1.0618456921155308E-4
0.005                    0.16154862491142444      0.16152467913986177      -1.0618555249286495E-4   -1.0618369853236403E-4
0.006                    0.16154862551501123      0.16152469482198906      -1.0618493576267951E-4   -1.061830817949676E-4
0.007                    0.16154862598090242      0.1615247062033269       -1.0618448817368903E-4   -1.0618263419933985E-4
0.008                    0.16154862635582906      0.1615247144786886       -1.0618416273374671E-4   -1.0618230875353635E-4
0.009000000000000001     0.16154862666772066      0.1615247205291591       -1.0618392479169564E-4   -1.0618207080645894E-4
0.01                     0.16154862693353936      0.16152472497421005      -1.0618374998545483E-4   -1.061818959959927E-4
0.011                    0.16154862716518284      0.16152472828967457      -1.0618361960317592E-4   -1.0618176561019787E-4
0.012                    0.1615486273693572       0.1615247307531393       -1.0618352272694336E-4   -1.0618166873107406E-4
0.013000000000000001     0.16154862755047114      0.16152473254849592      -1.0618345212298113E-4   -1.0618159812476949E-4
0.014                    0.16154862771299755      0.16152473386015104      -1.0618340054190949E-4   -1.0618154654181909E-4
0.015000000000000001     0.16154862786025714      0.16152473482169014      -1.061833627286061E-4    -1.0618150872701992E-4
0.016                    0.16154862799488456      0.16152473553336325      -1.0618333474151113E-4   -1.061814807387345E-4
0.017000000000000005     0.16154862811867676      0.16152473605840176      -1.0618331409393803E-4   -1.061814600902229E-4
0.018000000000000002     0.16154862823310984      0.16152473644524637      -1.0618329888109757E-4   -1.061814448766483E-4
0.019                    0.1615486283394739       0.16152473673249554      -1.0618328758483042E-4   -1.0618143357980858E-4
0.02                     0.1615486284389775       0.16152473695087696      -1.0618327899700078E-4   -1.0618142499152653E-4
0.021                    0.16154862853286778      0.16152473712751023      -1.061832720512367E-4    -1.0618141804539396E-4
0.022                    0.16154862862088115      0.16152473725620964      -1.0618326699074769E-4   -1.0618141298462799E-4
0.023                    0.1615486287045699       0.1615247373641518       -1.0618326274587825E-4   -1.0618140873952768E-4
0.024                    0.1615486287833041       0.1615247374402603       -1.0618325975262799E-4   -1.0618140574611106E-4
0.025                    0.16154862885814184      0.16152473750007093      -1.0618325740033233E-4   -1.0618140339368771E-4
0.026000000000000002     0.16154862892945074      0.16152473754884766      -1.061832554821878E-4    -1.0618140147544389E-4
0.027                    0.16154862899720374      0.16152473758497252      -1.0618325406156264E-4   -1.0618140005475028E-4
0.028                    0.1615486290623676       0.16152473761877914      -1.0618325273202338E-4   -1.0618139872515374E-4
0.029000000000000005     0.1615486291244639       0.16152473764516082      -1.0618325169437947E-4   -1.0618139768747337E-4
0.030000000000000002     0.1615486291844491       0.16152473767077088      -1.0618325068712938E-4   -1.0618139668019788E-4
0.031                    0.16154862924200514      0.16152473769338507      -1.0618324979767987E-4   -1.06181395790737E-4
0.032                    0.16154862929749508      0.16152473771438014      -1.0618324897192212E-4   -1.0618139496498629E-4
0.033                    0.16154862935114905      0.16152473773465875      -1.0618324817436589E-4   -1.0618139416745737E-4
0.03400000000000001      0.16154862940289663      0.1615247377537496       -1.0618324742347393E-4   -1.0618139341661875E-4
0.035                    0.16154862945317539      0.16152473777257761      -1.0618324668288348E-4   -1.06181392676136E-4
0.036000000000000004     0.1615486295017753       0.16152473779070808      -1.061832459696944E-4    -1.061813919630963E-4
0.037                    0.16154862954927812      0.1615247378086476       -1.0618324526360199E-4   -1.061813912575832E-4
0.038                    0.1615486295955547       0.16152473782627993      -1.0618324456920546E-4   -1.0618139056410789E-4
0.039                    0.16154862964055097      0.16152473784356675      -1.0618324388819712E-4   -1.0618138988432977E-4
0.04                     0.1615486296842701       0.16152473786050275      -1.0618324322057601E-4   -1.0618138921824862E-4
0.041                    0.16154862972681125      0.1615247378771277       -1.0618324256462351E-4   -1.0618138856448067E-4
0.042                    0.16154862976863765      0.1615247378936063       -1.061832419121887E-4    -1.0618138791646217E-4
0.043000000000000003     0.1615486298094065       0.1615247379098131       -1.061832412693275E-4    -1.0618138727907027E-4
0.044                    0.16154862984911536      0.16152473792575003      -1.0618324063603972E-4   -1.0618138665230407E-4
0.045                    0.16154862988776514      0.16152473794141595      -1.0618324001232514E-4   -1.0618138603616391E-4
0.046                    0.16154862992565316      0.1615247379568978       -1.0618323939199856E-4   -1.0618138542731554E-4
0.04700000000000001      0.16154862996299046      0.1615247379722529       -1.0618323877073525E-4   -1.0618138482342737E-4
0.048                    0.1615486299995088       0.1615247379874069       -1.0618323815403144E-4   -1.0618138422746247E-4
0.049                    0.1615486300352148       0.16152473800236006      -1.0618323754188739E-4   -1.0618138363942073E-4
0.05                     0.16154863007010173      0.16152473801711098      -1.0618323693430316E-4   -1.0618138305930265E-4
0.051000000000000004     0.16154863010455653      0.16152473803174136      -1.0618323631674374E-4   -1.06181382483917E-4
0.052000000000000005     0.1615486301384774       0.16152473804622994      -1.0618323569323214E-4   -1.0618138191414768E-4
0.053                    0.16154863017176552      0.1615247380605546       -1.0618323506736508E-4   -1.0618138135078373E-4
0.054                    0.16154863020441684      0.16152473807471673      -1.0618323443914225E-4   -1.0618138079382508E-4
0.055                    0.16154863023645674      0.16152473808871895      -1.0618323380690195E-4   -1.061813802431455E-4
0.056                    0.1615486302682281       0.16152473810262175      -1.0618323313974028E-4   -1.0618137969639315E-4
0.057                    0.16154863029949737      0.16152473811638318      -1.0618323245847482E-4   -1.061813791551527E-4
0.05800000000000001      0.16154863033026404      0.16152473813000673      -1.0618323176310564E-4   -1.0618137861942377E-4
0.059000000000000004     0.161548630360532        0.161524738143489        -1.0618323105363289E-4   -1.0618137808920646E-4
0.060000000000000005     0.16154863039037862      0.1615247381568455       -1.0618323031225304E-4   -1.0618137756391703E-4
0.061                    0.16154863041994405      0.16152473817010077      -1.0618322951031164E-4   -1.0618137704261519E-4
0.062                    0.16154863044910284      0.1615247381832335       -1.0618322867421719E-4   -1.0618137652616767E-4
0.063                    0.16154863047785561      0.16152473819624213      -1.061832278039704E-4    -1.0618137601457414E-4
0.064                    0.1615486305062015       0.16152473820912697      -1.0618322689957058E-4   -1.0618137550783467E-4
0.065                    0.16154863053431334      0.16152473822192806      -1.0618322582969705E-4   -1.0618137500443112E-4
0.066                    0.16154863056220306      0.16152473823464386      -1.0618322458995144E-4   -1.0618137450431262E-4
0.067                    0.16154863058978403      0.1615247382472611       -1.0618322323968773E-4   -1.0618137400816526E-4
0.06800000000000002      0.161548630617062        0.16152473825977468      -1.061832217789066E-4    -1.061813735159892E-4
0.069                    0.16154863064403452      0.16152473827218844      -1.0618322020760718E-4   -1.0618137302778426E-4
0.07                     0.16154863067070097      0.16152473828450178      -1.0618321852578983E-4   -1.0618137254355048E-4
0.07100000000000001      0.16154863069706432      0.1615247382967141       -1.0618321673345452E-4   -1.0618137206328776E-4
0.07200000000000001      0.1615486307231205       0.1615247383088249       -1.0618321483060134E-4   -1.0618137158699638E-4
0.073                    0.16154863074887457      0.16152473832083594      -1.0618321281723021E-4   -1.0618137111467617E-4
0.074                    0.16154863077437653      0.16152473833276082      -1.0618321058286149E-4   -1.0618137064566323E-4
0.075                    0.16154863079978904      0.1615247383446532       -1.0618320779776231E-4   -1.0618137017797496E-4
0.076                    0.1615486308249473       0.16152473835645995      -1.061832048008113E-4    -1.061813697136494E-4
0.077                    0.16154863084984866      0.16152473836818135      -1.0618320159200872E-4   -1.0618136925268535E-4
0.078                    0.16154863087449636      0.1615247383798188       -1.0618319817135434E-4   -1.061813687950838E-4
0.079                    0.16154863089888719      0.16152473839136774      -1.0618319453884812E-4   -1.0618136834084434E-4
0.08                     0.16154863092302368      0.16152473840283177      -1.0618319069449018E-4   -1.0618136788996676E-4
0.081                    0.16154863094690478      0.16152473841421167      -1.0618318663828059E-4   -1.0618136744245132E-4
0.082                    0.16154863097053046      0.1615247384255056       -1.0618318237021941E-4   -1.0618136699829794E-4
0.08300000000000002      0.16154863099390002      0.1615247384367144       -1.0618317789030651E-4   -1.0618136655750663E-4
0.084                    0.16154863101721847      0.16152473844793463      -1.0618317243164051E-4   -1.0618136611623407E-4
0.085                    0.16154863104037404      0.1615247384591138       -1.0618316641304404E-4   -1.0618136567657904E-4
0.08600000000000001      0.16154863106332132      0.16152473847023127      -1.0618315999731662E-4   -1.0618136523935759E-4
0.08700000000000001      0.16154863108606277      0.1615247384812874       -1.0618315318445828E-4   -1.0618136480456978E-4
0.088                    0.1615486311086022       0.16152473849228036      -1.0618314597446897E-4   -1.0618136437221544E-4
0.089                    0.16154863113093065      0.16152473850321353      -1.0618313836734942E-4   -1.0618136394229459E-4
0.09                     0.16154863115305398      0.16152473851408325      -1.0618313036309866E-4   -1.061813635148073E-4
0.091                    0.16154863117497198      0.16152473852489124      -1.061831219617177E-4    -1.0618136308975357E-4
0.092                    0.16154863119668353      0.16152473853563698      -1.0618311316320611E-4   -1.0618136266713321E-4
0.093                    0.16154863121824087      0.1615247385463868       -1.0618310349483904E-4   -1.0618136224439003E-4
0.09400000000000001      0.16154863123969102      0.1615247385571975       -1.0618309252812966E-4   -1.0618136181920627E-4
0.095                    0.16154863126096475      0.16152473856798166      -1.0618308091899807E-4   -1.0618136139512965E-4
0.096                    0.16154863128206035      0.16152473857873645      -1.0618306866744464E-4   -1.0618136097215968E-4
0.097                    0.16154863130297561      0.16152473858946334      -1.0618305577346939E-4   -1.0618136055029674E-4
0.098                    0.16154863132371416      0.16152473860016237      -1.061830422370727E-4    -1.0618136012954066E-4
0.099                    0.16154863134427283      0.16152473861083413      -1.0618302805825496E-4   -1.0618135970989148E-4
0.1                      0.16154863136465167      0.161524738621475        -1.0618301323701593E-4   -1.0618135929134939E-4
0.101                    0.16154863138485254      0.1615247386320895       -1.061829977733562E-4    -1.0618135887391429E-4
0.10200000000000001      0.16154863140487435      0.16152473864267675      -1.061829816672762E-4    -1.0618135845758559E-4
0.10300000000000001      0.1615486314247568       0.1615247386535156       -1.0618296347498635E-4   -1.0618135803132538E-4
0.10400000000000001      0.16154863144447162      0.16152473866438843      -1.0618294432404642E-4   -1.06181357603754E-4
0.10500000000000001      0.16154863146401358      0.16152473867528652      -1.0618292424610781E-4   -1.0618135717511386E-4
0.106                    0.16154863148338455      0.16152473868621395      -1.0618290324117071E-4   -1.0618135674540464E-4
0.107                    0.16154863150258636      0.1615247386971673       -1.0618288130923579E-4   -1.0618135631462663E-4
0.108                    0.16154863152161733      0.1615247387081475       -1.0618285845030354E-4   -1.0618135588277946E-4
0.10900000000000001      0.16154863154047736      0.16152473871915762      -1.0618283466437492E-4   -1.0618135544986364E-4
0.11                     0.16154863155916607      0.16152473873019182      -1.061828099514502E-4    -1.0618135501587856E-4
0.111                    0.1615486315776838       0.16152473874125314      -1.0618278431152998E-4   -1.0618135458082487E-4
0.112                    0.1615486315960119       0.16152473875260412      -1.0618275691862033E-4   -1.0618135413447105E-4
0.113                    0.16154863161415015      0.16152473876425816      -1.0618272771825096E-4   -1.0618135367614293E-4
0.114                    0.16154863163211128      0.16152473877603382      -1.0618269729504074E-4   -1.061813532130814E-4
0.115                    0.16154863164989283      0.16152473878792795      -1.0618266564899057E-4   -1.0618135274528646E-4
0.11600000000000002      0.16154863166749897      0.16152473879994445      -1.0618263278010156E-4   -1.061813522727582E-4
0.117                    0.16154863168492825      0.1615247388120793       -1.06182598688375E-4     -1.061813517954966E-4
0.11800000000000001      0.16154863170217762      0.16152473882433516      -1.0618256337381206E-4   -1.0618135131350146E-4
0.11900000000000001      0.16154863171925132      0.16152473883671215      -1.0618252683641412E-4   -1.0618135082677329E-4
0.12000000000000001      0.16154863173614817      0.16152473884920987      -1.0618248907618184E-4   -1.0618135033531163E-4
0.121                    0.1615486317528406       0.16152473886207602      -1.0618244980797122E-4   -1.0618134982930069E-4
0.122                    0.16154863176918188      0.16152473887676722      -1.0618240737135339E-4   -1.0618134925158129E-4
0.12300000000000001      0.16154863178531007      0.16152473889194296      -1.0618236329506053E-4   -1.0618134865477892E-4
0.124                    0.1615486318012243       0.1615247389076045       -1.0618231757909458E-4   -1.0618134803889336E-4
0.125                    0.16154863181692014      0.16152473892375208      -1.0618227022345794E-4   -1.0618134740392497E-4
0.126                    0.16154863183240448      0.16152473894038386      -1.0618222122815245E-4   -1.0618134674987349E-4
0.127                    0.1615486318476746       0.16152473895750138      -1.0618217059318082E-4   -1.0618134607673891E-4
0.128                    0.16154863186272903      0.16152473897510378      -1.0618211831854505E-4   -1.0618134538452136E-4
0.12900000000000003      0.16154863187756718      0.16152473899319336      -1.0618206440424783E-4   -1.0618134467322085E-4
0.13                     0.161548631892193        0.16152473901176706      -1.061820088502915E-4    -1.0618134394283713E-4
0.131                    0.16154863190660387      0.1615247390308255       -1.0618195165667884E-4   -1.0618134319337078E-4
0.132                    0.16154863192080068      0.16152473905037004      -1.0618189282341273E-4   -1.0618134242482122E-4
0.133                    0.16154863193478247      0.161524739070401        -1.061818323504956E-4    -1.0618134163718853E-4
0.134                    0.16154863194854896      0.16152473909091572      -1.061817702379303E-4    -1.0618134083047289E-4
0.135                    0.1615486319621012       0.16152473911191603      -1.0618170648571985E-4   -1.0618134000467431E-4
0.13600000000000004      0.1615486319754406       0.16152473913340185      -1.0618164109386742E-4   -1.0618133915979235E-4
0.137                    0.16154863198856273      0.16152473915537302      -1.061815740623755E-4    -1.0618133829582773E-4
0.138                    0.16154863200147032      0.16152473917782958      -1.0618150539124793E-4   -1.0618133741278001E-4
0.139                    0.16154863201416444      0.1615247392007716       -1.0618143508048773E-4   -1.0618133651064927E-4
0.14                     0.16154863202652572      0.16152473922566943      -1.0618136254128594E-4   -1.0618133553159154E-4
0.14100000000000001      0.16154863203837927      0.16152473925465122      -1.0618128692128287E-4   -1.0618133439187215E-4
0.14200000000000002      0.16154863204997574      0.16152473928461464      -1.0618120946315765E-4   -1.0618133321356918E-4
0.14300000000000002      0.16154863206131997      0.16152473931555889      -1.0618113016691474E-4   -1.0618133199668265E-4
0.14400000000000002      0.16154863207240666      0.16152473934748557      -1.06181049032558E-4     -1.0618133074121258E-4
0.145                    0.16154863208324033      0.16152473938039116      -1.0618096606009179E-4   -1.0618132944715884E-4
0.146                    0.16154863209382003      0.1615247394142788       -1.061808812495204E-4    -1.0618132811452136E-4
0.147                    0.16154863210414233      0.161524739449147        -1.0618079460084839E-4   -1.0618132674330078E-4
0.148                    0.1615486321142127       0.16152473948499813      -1.0618070611408053E-4   -1.0618132533349623E-4
0.149                    0.1615486321240265       0.16152473952182694      -1.0618061578922093E-4   -1.0618132388510818E-4
0.15                     0.1615486321335871       0.16152473955963928      -1.0618052362627476E-4   -1.0618132239813665E-4
0.15100000000000002      0.16154863214289011      0.161524739598432        -1.0618042962524672E-4   -1.0618132087258155E-4
0.152                    0.16154863215194043      0.16152473963820693      -1.0618033378614196E-4   -1.0618131930844292E-4
0.153                    0.1615486321607339       0.16152473967896194      -1.0618023610896513E-4   -1.0618131770572064E-4
0.154                    0.16154863216927384      0.16152473972069747      -1.0618013659372186E-4   -1.0618131606441497E-4
0.155                    0.1615486321775589       0.16152473976341494      -1.061800352404171E-4    -1.0618131438452563E-4
0.156                    0.16154863218558846      0.16152473980711404      -1.0617993204905614E-4   -1.061813126660527E-4
0.157                    0.16154863219336343      0.16152473985179253      -1.0617982701964455E-4   -1.0618131090899644E-4
0.158                    0.1615486322008838       0.16152473989745317      -1.0617972015218797E-4   -1.0618130911335636E-4
0.159                    0.1615486322078687       0.16152473994832187      -1.0617961083721576E-4   -1.0618130711294616E-4
0.16                     0.16154863221424748      0.16152474000548833      -1.0617949891737522E-4   -1.061813048648574E-4
0.161                    0.16154863222031118      0.1615247400645532       -1.0617938502708674E-4   -1.0618130254207694E-4
0.162                    0.16154863222605734      0.16152474012551782      -1.0617926916635697E-4   -1.0618130014460498E-4
0.163                    0.16154863223148816      0.1615247401883817       -1.0617915133519224E-4   -1.0618129767244162E-4
0.164                    0.16154863223660346      0.16152474025314575      -1.061790315335996E-4    -1.0618129512558644E-4
0.165                    0.16154863224140373      0.16152474031980835      -1.0617890976158547E-4   -1.0618129250403992E-4
0.16600000000000004      0.16154863224588753      0.16152474038837084      -1.0617878601915677E-4   -1.061812898078018E-4
0.167                    0.16154863225005628      0.161524740458832        -1.0617866030632067E-4   -1.0618128703687213E-4
0.168                    0.1615486322539088       0.16152474053119295      -1.0617853262308402E-4   -1.0618128419125094E-4
0.169                    0.1615486322574476       0.1615247406054522       -1.0617840296945415E-4   -1.0618128127093824E-4
0.17                     0.16154863226066882      0.16152474068161093      -1.0617827134543833E-4   -1.0618127827593405E-4
0.171                    0.16154863226357413      0.16152474075967063      -1.06178137751044E-4     -1.0618127520623832E-4
0.17200000000000001      0.16154863226616456      0.16152474083962848      -1.0617800218627881E-4   -1.06181272061851E-4
0.17300000000000004      0.16154863226843832      0.16152474092148603      -1.061778646511502E-4    -1.0618126884277251E-4
0.17400000000000002      0.161548632270397        0.16152474100524186      -1.061777251456662E-4    -1.0618126554900213E-4
0.17500000000000002      0.16154863227203964      0.1615247410908988       -1.0617758366983447E-4   -1.0618126218054055E-4
0.176                    0.1615486322733677       0.16152474117845356      -1.0617744022366297E-4   -1.0618125873738736E-4
0.177                    0.16154863227437746      0.16152474126790867      -1.0617729480715983E-4   -1.0618125521954253E-4
