% Model:              1D_PoST5400um_12.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 3 2026, 21:30
% Table:              プローブテーブル 2 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              ec.Jx*nx (A)             ec.Jx*nx (A)
0                        0.16154781381516495      0.16152440562891268      -1.061963095210388E-4    -1.0619445549601567E-4
0.001                    0.16154859853954354      0.16152449328647986      -1.0619286186929467E-4   -1.0619100789416312E-4
0.002                    0.1615486231149879       0.1615245756488003       -1.0618962260396778E-4   -1.0618776864339433E-4
0.003                    0.16154862732074385      0.16152462486276853      -1.0618768709592031E-4   -1.0618583313328397E-4
0.004                    0.16154862886246088      0.16152465700150584      -1.0618642315111688E-4   -1.061845691816627E-4
0.005                    0.1615486297328938       0.16152467914124524      -1.0618555245494589E-4   -1.0618369847788108E-4
0.006                    0.16154863033656763      0.16152469482246512      -1.0618493576031299E-4   -1.0618308177622777E-4
0.007                    0.16154863080261123      0.1615247062048763       -1.0618448812846756E-4   -1.0618263413837967E-4
0.008                    0.16154863117761264      0.1615247144801989       -1.0618416268918848E-4   -1.0618230869414156E-4
0.009000000000000001     0.16154863148950296      0.16152472052814526      -1.0618392484535516E-4   -1.0618207084629463E-4
0.01                     0.1615486317554083       0.16152472497423215      -1.061837499973677E-4    -1.0618189599510231E-4
0.011                    0.16154863198714037      0.16152472829126405      -1.0618361955260095E-4   -1.0618176554777145E-4
0.012                    0.1615486321913609       0.1615247307548117       -1.0618352267209987E-4   -1.0618166866523892E-4
0.013000000000000001     0.16154863237251318      0.1615247325500885       -1.0618345207053896E-4   -1.0618159806209493E-4
0.014                    0.1615486325350701       0.16152473386146166      -1.0618340049991288E-4   -1.0618154649023308E-4
0.015000000000000001     0.16154863268235642      0.16152473482267052      -1.0618336269901836E-4   -1.0618150868838232E-4
0.016                    0.1615486328169561       0.1615247355322484       -1.0618333479389422E-4   -1.0618148078251493E-4
0.017000000000000005     0.1615486329407935       0.16152473605801662      -1.0618331411732789E-4   -1.061814601053717E-4
0.018000000000000002     0.161548633055264        0.16152473644526377      -1.0618329888832275E-4   -1.0618144487592206E-4
0.019                    0.16154863316165666      0.1615247367327226       -1.0618328758362911E-4   -1.0618143357088473E-4
0.02                     0.16154863326121707      0.16152473695182618      -1.0618327896719655E-4   -1.0618142495418124E-4
0.021                    0.16154863335512576      0.16152473712843887      -1.0618327202209584E-4   -1.0618141800886134E-4
0.022                    0.16154863344318235      0.1615247372575033       -1.0618326694711888E-4   -1.0618141293372082E-4
0.023                    0.16154863352686988      0.1615247373651357       -1.061832627143585E-4    -1.0618140870082164E-4
0.024                    0.16154863360556485      0.1615247374403591       -1.0618325975579163E-4   -1.0618140574215359E-4
0.025                    0.1615486336804691       0.16152473750086416      -1.061832573762106E-4    -1.0618140336249218E-4
0.026000000000000002     0.16154863375175535      0.16152473754917865      -1.0618325547617928E-4   -1.0618140146239822E-4
0.027                    0.16154863381955384      0.16152473758556493      -1.0618325404528115E-4   -1.0618140003145417E-4
0.028                    0.16154863388470797      0.16152473761919928      -1.0618325272249119E-4   -1.0618139870862256E-4
0.029000000000000005     0.16154863394679866      0.1615247376454134       -1.0618325169138213E-4   -1.0618139767748272E-4
0.030000000000000002     0.1615486340068159       0.16152473767120204      -1.0618325067713429E-4   -1.0618139666320613E-4
0.031                    0.16154863406435568      0.16152473769369505      -1.0618324979244676E-4   -1.0618139577849544E-4
0.032                    0.16154863411988565      0.16152473771480771      -1.0618324896212138E-4   -1.0618139494814959E-4
0.033                    0.16154863417353169      0.1615247377350516       -1.0618324816595233E-4   -1.0618139415196132E-4
0.03400000000000001      0.16154863422530505      0.16152473775417556      -1.0618324741381874E-4   -1.0618139339981056E-4
0.035                    0.16154863427558208      0.16152473777299892      -1.0618324667355995E-4   -1.0618139265953496E-4
0.036000000000000004     0.16154863432417257      0.16152473779110746      -1.0618324596142887E-4   -1.0618139194738913E-4
0.037                    0.1615486343717371       0.16152473780909657      -1.0618324525395748E-4   -1.0618139123989899E-4
0.038                    0.16154863441802136      0.16152473782673651      -1.0618324456025419E-4   -1.0618139054617514E-4
0.039                    0.16154863446301893      0.1615247378440229       -1.0618324388048026E-4   -1.061813898663791E-4
0.04                     0.16154863450673093      0.16152473786095362      -1.0618324321463563E-4   -1.061813892005106E-4
0.041                    0.16154863454931656      0.16152473787759128      -1.0618324256038245E-4   -1.0618138854622513E-4
0.042                    0.16154863459114457      0.16152473789406988      -1.0618324191241348E-4   -1.0618138789819976E-4
0.043000000000000003     0.16154863463190672      0.16152473791027336      -1.061832412751976E-4    -1.061813872609162E-4
0.044                    0.16154863467160013      0.16152473792620528      -1.0618324064873442E-4   -1.0618138663437407E-4
0.045                    0.16154863471022837      0.1615247379418632       -1.0618324003302382E-4   -1.0618138601857387E-4
0.046                    0.1615486347481758       0.16152473795736227      -1.0618323942365071E-4   -1.0618138540904155E-4
0.04700000000000001      0.16154863478551307      0.16152473797272066      -1.0618323881985562E-4   -1.0618138480500777E-4
0.048                    0.16154863482202636      0.16152473798787909      -1.0618323822403139E-4   -1.0618138420889726E-4
0.049                    0.16154863485771684      0.16152473800283504      -1.0618323763617789E-4   -1.0618138362070927E-4
0.05                     0.16154863489258603      0.16152473801759082      -1.0618323705629523E-4   -1.061813830404445E-4
0.051000000000000004     0.16154863492710206      0.1615247380322502       -1.0618323648044326E-4   -1.0618138246388378E-4
0.052000000000000005     0.161548634961022        0.16152473804676024      -1.0618323591066233E-4   -1.0618138189321114E-4
0.053                    0.1615486349943039       0.1615247380611128       -1.061832353472952E-4    -1.0618138132879483E-4
0.054                    0.16154863502695135      0.16152473807530604      -1.0618323479034274E-4   -1.0618138077063474E-4
0.055                    0.1615486350590278       0.16152473808935547      -1.0618323423932634E-4   -1.0618138021811057E-4
0.056                    0.16154863509080722      0.16152473810332402      -1.0618323369234801E-4   -1.0618137966875837E-4
0.057                    0.16154863512208048      0.1615247381171644       -1.0618323315085021E-4   -1.0618137912445026E-4
0.05800000000000001      0.16154863515284942      0.1615247381308768       -1.0618323261483283E-4   -1.061813785851864E-4
0.059000000000000004     0.16154863518311743      0.16152473814446144      -1.0618323208429575E-4   -1.0618137805096653E-4
0.060000000000000005     0.16154863521300766      0.1615247381579625       -1.0618323155824283E-4   -1.0618137751997201E-4
0.061                    0.1615486352425884       0.16152473817140664      -1.0618323103616043E-4   -1.0618137699126773E-4
0.062                    0.16154863527176078      0.16152473818475646      -1.0618323051881313E-4   -1.0618137646624708E-4
0.063                    0.1615486353005271       0.1615247381980127       -1.0618323000620037E-4   -1.0618137594491014E-4
0.064                    0.1615486353288844       0.16152473821117563      -1.0618322949832258E-4   -1.0618137542725641E-4
0.065                    0.16154863535707548      0.16152473822455457      -1.0618322899148618E-4   -1.0618137490109357E-4
0.066                    0.1615486353850051       0.16152473823803443      -1.0618322848707298E-4   -1.0618137437098253E-4
0.067                    0.16154863541263575      0.1615247382515577       -1.0618322798575629E-4   -1.0618137383914671E-4
0.06800000000000002      0.16154863543996512      0.16152473826512515      -1.0618322748753641E-4   -1.0618137330558595E-4
0.069                    0.16154863546699372      0.16152473827873734      -1.0618322699241297E-4   -1.061813727703003E-4
0.07                     0.16154863549371823      0.1615247382923924       -1.0618322650038627E-4   -1.061813722332901E-4
0.07100000000000001      0.1615486355201433       0.1615247383060917       -1.0618322601145624E-4   -1.0618137169455501E-4
0.07200000000000001      0.1615486355462662       0.16152473831983502      -1.0618322552562291E-4   -1.0618137115409475E-4
0.073                    0.161548635572089        0.16152473833362124      -1.0618322504288599E-4   -1.0618137061191008E-4
0.074                    0.16154863559772567      0.16152473834794423      -1.0618322455834853E-4   -1.0618137004862117E-4
0.075                    0.1615486356232559       0.16152473836314135      -1.0618322406866897E-4   -1.0618136945100553E-4
0.076                    0.16154863564854147      0.16152473837861753      -1.0618322357974963E-4   -1.0618136884241968E-4
0.077                    0.16154863567357894      0.16152473839437126      -1.0618322309159042E-4   -1.0618136822286373E-4
0.078                    0.16154863569837177      0.16152473841040416      -1.0618322260419137E-4   -1.061813675923376E-4
0.079                    0.1615486357229181       0.1615247384267164       -1.0618322211755273E-4   -1.061813669508412E-4
0.08                     0.16154863574722028      0.16152473844330775      -1.0618322163167444E-4   -1.0618136629837441E-4
0.081                    0.1615486357712744       0.1615247384601785       -1.0618322114655616E-4   -1.0618136563493757E-4
0.082                    0.16154863579508205      0.16152473847732784      -1.061832206621984E-4    -1.0618136496053081E-4
0.08300000000000002      0.16154863581865445      0.16152473849484744      -1.0618322017765677E-4   -1.0618136427153124E-4
0.084                    0.16154863584228205      0.16152473851538166      -1.0618321966586225E-4   -1.0618136346403928E-4
0.085                    0.16154863586572418      0.1615247385367341       -1.0618321914929285E-4   -1.061813626243319E-4
0.08600000000000001      0.16154863588897814      0.1615247385589057       -1.0618321862794865E-4   -1.0618136175240957E-4
0.08700000000000001      0.1615486359120463       0.1615247385818974       -1.0618321810182959E-4   -1.0618136084827217E-4
0.088                    0.16154863593492713      0.16152473860570704      -1.061832175709357E-4    -1.061813599119191E-4
0.089                    0.16154863595762367      0.1615247386303373       -1.0618321703526699E-4   -1.0618135894335124E-4
0.09                     0.16154863598013242      0.16152473865578543      -1.0618321649482346E-4   -1.0618135794256829E-4
0.091                    0.16154863600245428      0.1615247386820535       -1.0618321594960531E-4   -1.0618135690957015E-4
0.092                    0.16154863602459088      0.1615247387091415       -1.0618321539961212E-4   -1.0618135584435685E-4
0.093                    0.1615486360466747       0.16152473874006631      -1.0618321481106051E-4   -1.0618135462820169E-4
0.09400000000000001      0.16154863606868528      0.16152473877423779      -1.0618321419058597E-4   -1.0618135328442372E-4
0.095                    0.1615486360905502       0.16152473881015877      -1.0618321355490432E-4   -1.0618135187176829E-4
0.096                    0.1615486361122695       0.1615247388478317       -1.0618321290401597E-4   -1.0618135039023586E-4
0.097                    0.16154863613384624      0.1615247388872572       -1.0618321223792042E-4   -1.061813488398261E-4
0.098                    0.161548636155277        0.16152473892843255      -1.061832115566178E-4    -1.0618134722053916E-4
0.099                    0.16154863617656542      0.16152473897136033      -1.0618321086010845E-4   -1.0618134553237493E-4
0.1                      0.1615486361977094       0.16152473901603864      -1.0618321014839198E-4   -1.0618134377533364E-4
0.101                    0.1615486362187063       0.16152473906246953      -1.061832094214683E-4    -1.0618134194941508E-4
0.10200000000000001      0.16154863623959462      0.16152473911238435      -1.0618320865766543E-4   -1.0618133998646245E-4
0.10300000000000001      0.16154863626044805      0.16152473917001245      -1.0618320780410247E-4   -1.0618133772017347E-4
0.10400000000000001      0.1615486362811849       0.16152473923080318      -1.0618320691767617E-4   -1.0618133532948085E-4
0.10500000000000001      0.16154863630180255      0.16152473929475877      -1.0618320599838622E-4   -1.0618133281438421E-4
0.106                    0.1615486363223035       0.16152473936187614      -1.061832050462333E-4    -1.0618133017488398E-4
0.107                    0.16154863634268665      0.16152473943215803      -1.06183204061217E-4     -1.0618132741097984E-4
0.108                    0.1615486363629518       0.16152473950560273      -1.0618320304333747E-4   -1.0618132452267221E-4
0.10900000000000001      0.16154863638309822      0.16152473958221036      -1.0618320199259479E-4   -1.0618132150996075E-4
0.11                     0.1615486364031262       0.1615247396619825       -1.0618320090898866E-4   -1.0618131837284562E-4
0.111                    0.16154863642303804      0.16152473974491602      -1.0618319979251929E-4   -1.0618131511132686E-4
0.112                    0.16154863644289674      0.16152473983951704      -1.0618319852369203E-4   -1.0618131139101751E-4
0.113                    0.16154863646266235      0.1615247399404118       -1.0618319717799828E-4   -1.0618130742316716E-4
0.114                    0.16154863648232404      0.16152474004639106      -1.0618319577245723E-4   -1.0618130325540282E-4
