% Model:              1D_PoST5400um_12.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 6 2026, 17:01
% Table:              プローブテーブル 2 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              ec.Jx*nx (A)             ec.Jx*nx (A)
0                        0.1615477524647505       0.16152440562848236      -1.0619630948226632E-4   -1.0619445551297973E-4
0.001                    0.16154853601622138      0.16152449328626273      -1.0619286183727234E-4   -1.0619100790268567E-4
0.002                    0.16154856052133929      0.16152457564955927      -1.0618962254942497E-4   -1.0618776861354083E-4
0.003                    0.16154856471384826      0.16152462486392294      -1.0618768703520618E-4   -1.061858330878765E-4
0.004                    0.16154856625020478      0.1615246570009408       -1.0618642316407305E-4   -1.0618456920387842E-4
0.005                    0.16154856711724486      0.1615246791302754       -1.0618555288118485E-4   -1.061836989092765E-4
0.006                    0.16154856771990328      0.16152469482451132      -1.061849356776091E-4    -1.0618308169584834E-4
0.007                    0.161548568184202        0.16152470619629875      -1.061844884651823E-4    -1.0618263447542772E-4
0.008                    0.1615485685577844       0.16152471446228592      -1.0618416339440637E-4   -1.061823093983023E-4
0.009000000000000001     0.16154856886879565      0.1615247205110231       -1.0618392552045766E-4   -1.0618207151936962E-4
0.01                     0.161548569134546        0.1615247249826217       -1.0618374967052959E-4   -1.0618189566554048E-4
0.011                    0.16154856936589332      0.16152472831195053      -1.0618361874314946E-4   -1.0618176473510753E-4
0.012                    0.1615485695688802       0.16152473074977133      -1.0618352287311516E-4   -1.0618166886271667E-4
0.013000000000000001     0.16154856974923285      0.16152473253462168      -1.0618345268272981E-4   -1.0618159867052036E-4
0.014                    0.16154856991123076      0.16152473384348467      -1.0618340121018053E-4   -1.0618154719658238E-4
0.015000000000000001     0.1615485700580861       0.16152473480542534      -1.0618336338076205E-4   -1.0618150936609847E-4
0.016                    0.16154857019225669      0.16152473551470675      -1.0618333548743077E-4   -1.0618148147195094E-4
0.017000000000000005     0.16154857031570305      0.16152473604070366      -1.0618331480203593E-4   -1.0618146078593396E-4
0.018000000000000002     0.1615485704298703       0.16152473643047904      -1.0618329947371378E-4   -1.061814454571446E-4
0.019                    0.1615485705365694       0.16152473673428905      -1.0618328752625093E-4   -1.0618143350938927E-4
0.02                     0.16154857063626094      0.1615247369643949       -1.061832784776744E-4    -1.0618142446070513E-4
0.021                    0.1615485707299124       0.1615247371412829       -1.061832715211789E-4    -1.0618141750452412E-4
0.022                    0.161548570817858        0.16152473727237734      -1.0618326636451104E-4   -1.0618141234866595E-4
0.023                    0.1615485709007199       0.1615247373683417       -1.0618326258828388E-4   -1.0618140857435399E-4
0.024                    0.16154857097932912      0.16152473744497542      -1.0618325957089959E-4   -1.0618140556059535E-4
0.025                    0.1615485710536968       0.161524737500258        -1.0618325739053995E-4   -1.0618140338649212E-4
0.026000000000000002     0.16154857112478435      0.1615247375482219       -1.0618325549282267E-4   -1.0618140150011356E-4
0.027                    0.1615485711923395       0.16152473758426306      -1.0618325405819612E-4   -1.0618140008246068E-4
0.028                    0.1615485712572656       0.16152473761753974      -1.0618325271954491E-4   -1.0618139877367321E-4
0.029000000000000005     0.16154857131923583      0.16152473764452444      -1.0618325161722545E-4   -1.0618139771233152E-4
0.030000000000000002     0.16154857137903986      0.16152473767032433      -1.061832505328708E-4    -1.0618139669761758E-4
